,Modelo,MAE,MSE,MAPE,r2,random_state,time
0,GradientBoostingRegressor,5.804389040245605,10.917160812256142,1.5244191956271933,0.9885782645678677,0,3.2727558612823486
1,GradientBoostingRegressor,5.670110074320729,10.614469447527675,1.495741012134753,0.988945312428275,1,3.383789300918579
2,GradientBoostingRegressor,5.851601649478209,10.886851386627496,1.5308204060749409,0.9883527337752929,2,3.1138412952423096
3,GradientBoostingRegressor,5.787159086062631,10.86496914503875,1.5178518294862486,0.9885903755457343,3,3.061305046081543
4,GradientBoostingRegressor,5.777380693676504,10.797369812925293,1.5269879142458294,0.9886740091073005,4,3.057619571685791
5,GradientBoostingRegressor,5.826401242329392,10.872284593913607,1.534204439043416,0.988563687462948,5,3.0722217559814453
6,GradientBoostingRegressor,5.641846859283997,10.641636228714813,1.489669304447442,0.9887755777303364,6,3.0512008666992188
7,GradientBoostingRegressor,5.7309453689268475,10.708164560396911,1.5172739002258657,0.9887852544072515,7,3.122077226638794
8,GradientBoostingRegressor,5.827937366944782,10.825020785288885,1.5303017683078382,0.9886356996689926,8,3.0254788398742676
9,GradientBoostingRegressor,5.767599700670957,10.792021914189093,1.5239319870010408,0.988696012803482,9,3.090170383453369
10,GradientBoostingRegressor,5.595519260892167,10.549953201140816,1.4648074211803528,0.9889649742805314,10,3.0709033012390137
11,GradientBoostingRegressor,5.702106350309824,10.736179419522362,1.486511104131213,0.9885431632761944,11,3.177469491958618
12,GradientBoostingRegressor,5.688657513709035,10.718447970308883,1.500302017426669,0.9886844832757428,12,3.1230368614196777
13,GradientBoostingRegressor,5.648692359401811,10.635361474573578,1.4831178684215751,0.9888428461867258,13,3.094496011734009
14,GradientBoostingRegressor,5.607278783917035,10.519924634400969,1.4781850168230855,0.9892636868086597,14,3.042052745819092
15,GradientBoostingRegressor,5.716750425948427,10.74748587506413,1.4962688707066818,0.9885527690349826,15,3.1496806144714355
16,GradientBoostingRegressor,5.6919047228482365,10.629572804224072,1.507653883029569,0.9892479784577417,16,3.079461097717285
17,GradientBoostingRegressor,5.692682065756912,10.69883495264426,1.4989718284257003,0.988845234880415,17,3.13818097114563
18,GradientBoostingRegressor,5.776404478698072,10.74981306248322,1.5147728413806218,0.9888765912625472,18,3.049917221069336
19,GradientBoostingRegressor,5.671455786648893,10.587842818000421,1.493980789483724,0.9889937712626132,19,3.1738903522491455
20,GradientBoostingRegressor,5.7318377235415925,10.766679880357955,1.5111947182006165,0.9886358169293423,20,3.2951014041900635
21,GradientBoostingRegressor,5.661267024184802,10.66707176002971,1.4753175583766531,0.9886902887885517,21,3.232834815979004
22,GradientBoostingRegressor,5.833634646712348,10.882507544571782,1.541561827789557,0.9885584881391521,22,3.0493671894073486
23,GradientBoostingRegressor,5.859557801595169,10.917608718386482,1.5534124069392081,0.9885421635855987,23,3.095510721206665
24,GradientBoostingRegressor,5.693946578765993,10.628764002009092,1.5110356850823423,0.9891625362697709,24,3.047149181365967
25,GradientBoostingRegressor,5.742721992284513,10.827855458412277,1.5027597719370167,0.9884913314211202,25,3.1079533100128174
26,GradientBoostingRegressor,5.806557641001229,10.862844993151283,1.5354895484117435,0.9886305292624463,26,3.04766845703125
27,GradientBoostingRegressor,5.752122340998709,10.73474439999677,1.5210374454169375,0.988952063015935,27,3.1289145946502686
28,GradientBoostingRegressor,5.739307876275123,10.72145752562276,1.506047151352293,0.9884306697916745,28,3.075286865234375
29,GradientBoostingRegressor,5.664131006078984,10.576592652240802,1.4881508261970353,0.9890532572412521,29,3.1088132858276367
30,GradientBoostingRegressor,5.715236385080034,10.68252301183837,1.5120642641578146,0.9888919622150453,30,3.0528411865234375
31,GradientBoostingRegressor,5.7011863063020325,10.637415089367746,1.5003767831556847,0.9887262457466567,31,3.1551332473754883
32,GradientBoostingRegressor,5.820064356546439,10.884251028279401,1.5384578412616023,0.9888178904107943,32,3.0390326976776123
33,GradientBoostingRegressor,5.5438623792111335,10.522758948080172,1.4677674826368685,0.9892279204212994,33,3.122530460357666
34,GradientBoostingRegressor,5.6317526426617475,10.635485271809037,1.489222520657763,0.9890390193723276,34,3.06535267829895
