,Modelo,MAE,MSE,MAPE,r2,random_state,time
0,KNeighborsRegressor,6.2499659481983745,13.6078338553509,1.6568099543196626,0.9822544004401412,0,0.12242388725280762
1,KNeighborsRegressor,5.8330306320921075,12.875320690819352,1.5667588757273059,0.9837345530931341,1,0.12271666526794434
2,KNeighborsRegressor,6.082091051648039,12.89323477778192,1.6196765479295914,0.9836640951466056,2,0.12933945655822754
3,KNeighborsRegressor,5.961544026354907,12.106774967669825,1.5954751335534085,0.9858332152422288,3,0.12576556205749512
4,KNeighborsRegressor,6.0466537218993155,13.163106462019785,1.6354039097082158,0.9831671736540545,4,0.1336040496826172
5,KNeighborsRegressor,5.988505935146832,13.093177106538773,1.6174262389878709,0.9834142743857184,5,0.12531352043151855
6,KNeighborsRegressor,5.9607109728194825,13.171369910979179,1.6049798155598058,0.9828047271125514,6,0.12447953224182129
7,KNeighborsRegressor,6.006512305974125,13.25278640282735,1.6068808116118445,0.982821954469323,7,0.13273143768310547
8,KNeighborsRegressor,6.100136276874586,12.968381056701261,1.6414681850103856,0.9836898952233428,8,0.12385272979736328
9,KNeighborsRegressor,5.997328503365227,12.941155941143371,1.5908866334857619,0.9837455544187783,9,0.12409639358520508
10,KNeighborsRegressor,5.888407356929248,12.269213097855465,1.5728144133757112,0.9850752968244579,10,0.12351775169372559
11,KNeighborsRegressor,5.930391166257568,12.994258648976075,1.5869513758238165,0.9832170532485635,11,0.12555694580078125
12,KNeighborsRegressor,5.987095123328985,13.312510145073079,1.601298314252762,0.982544572640286,12,0.12597942352294922
13,KNeighborsRegressor,6.023230721749255,13.154972873713973,1.6102620511565267,0.982930184638324,13,0.12341570854187012
14,KNeighborsRegressor,5.947775493934738,12.916436265276245,1.6136841678105203,0.983814902292827,14,0.1317589282989502
15,KNeighborsRegressor,5.936748279472669,13.148264318578958,1.570531857130254,0.9828673898933623,15,0.1251990795135498
16,KNeighborsRegressor,5.818959308551666,13.17638074689179,1.570965140120691,0.9834784505071371,16,0.12251472473144531
17,KNeighborsRegressor,5.968190309478056,12.441524578416775,1.612384170021418,0.9849153701445315,17,0.12885355949401855
18,KNeighborsRegressor,5.9593059222640195,12.778297895169278,1.590715083622515,0.9842825499499015,18,0.12844157218933105
19,KNeighborsRegressor,5.966535626626211,12.49765592255045,1.591147436516438,0.9846651090780046,19,0.13406109809875488
20,KNeighborsRegressor,6.066182672833571,12.870791726642935,1.6288329940179282,0.9837600328854621,20,0.13081884384155273
21,KNeighborsRegressor,5.827892611868341,12.371981577877163,1.564499939559085,0.9847861331356639,21,0.12159132957458496
22,KNeighborsRegressor,6.034385155901625,12.542924793009332,1.609837303806489,0.9848007171224357,22,0.12435150146484375
23,KNeighborsRegressor,6.074330970408938,13.03170972021991,1.6342736116722416,0.9836751063068875,23,0.12577509880065918
24,KNeighborsRegressor,6.0052385628750695,13.362429937242013,1.6234575983192925,0.9828709605018943,24,0.12699317932128906
25,KNeighborsRegressor,6.109146513408515,13.476134076810439,1.6340544376384176,0.9821733051434809,25,0.13005447387695312
26,KNeighborsRegressor,6.090156961411886,13.357581164043555,1.6384581805275638,0.9828086996941197,26,0.1224515438079834
27,KNeighborsRegressor,5.930612150120018,12.560902562342338,1.5922829547746438,0.9848734646859181,27,0.12388229370117188
28,KNeighborsRegressor,5.889813828301598,12.664792776820919,1.5773061862517126,0.9838565358233529,28,0.12382221221923828
29,KNeighborsRegressor,5.866229502127869,12.876735091183209,1.5820759629625332,0.9837742463292507,29,0.14612030982971191
30,KNeighborsRegressor,5.8976566857570605,12.683052505883857,1.5702430925853599,0.9843419651602987,30,0.13090777397155762
31,KNeighborsRegressor,5.805417340093802,12.092391658516009,1.5765208022524728,0.985431301322776,31,0.1354832649230957
32,KNeighborsRegressor,6.026331485765179,13.13988509440165,1.6179392006306033,0.9837029206560988,32,0.1252455711364746
33,KNeighborsRegressor,5.805447532753353,12.865760659329409,1.5739407249693995,0.9838968349074654,33,0.12226271629333496
34,KNeighborsRegressor,5.918653459111677,12.68856666987954,1.5919222177532184,0.9843987311455102,34,0.12831401824951172
