,Modelo,MAE,MSE,MAPE,r2,random_state,time
0,AdaBoostRegressor,13.765785899018532,17.434951902822437,4.142789955595994,0.9708690808272875,0,0.5637612342834473
1,AdaBoostRegressor,13.5787799745384,17.19427662966649,4.398166573048489,0.9709920051542816,1,0.5581386089324951
2,AdaBoostRegressor,13.701194895207855,17.242790746991385,4.116927969859206,0.9707830734431625,2,0.5700790882110596
3,AdaBoostRegressor,13.45243497519801,17.139497153172933,3.954190967113503,0.9716070506471456,3,0.5612688064575195
4,AdaBoostRegressor,13.50328320679184,17.192326416950007,4.370452347513093,0.9712849516596916,4,0.5572977066040039
5,AdaBoostRegressor,13.338937132855383,16.990747567725318,4.296960877941832,0.9720701009071844,5,0.5595693588256836
6,AdaBoostRegressor,13.323837748237459,17.017937691428333,4.15537531949629,0.9712947695924237,6,0.549903154373169
7,AdaBoostRegressor,12.992916687989174,16.676572631717814,3.9734614438614773,0.972799746521663,7,0.5713396072387695
8,AdaBoostRegressor,13.56377684284984,17.169781229649008,4.323771952708234,0.9714099609924474,8,0.5672435760498047
9,AdaBoostRegressor,13.8649742147464,17.383327760342908,4.156101941999059,0.9706713645431961,9,0.5521600246429443
10,AdaBoostRegressor,13.226791169752905,16.821646935574844,4.013225643440195,0.9719450621881075,10,0.5643947124481201
11,AdaBoostRegressor,13.576014483518396,17.075598007519734,4.063751917450031,0.9710187544386929,11,0.5508065223693848
12,AdaBoostRegressor,13.545535239870135,17.20965177871615,4.331766628539064,0.9708287695388992,12,0.5570206642150879
13,AdaBoostRegressor,13.262883390993684,16.85466834062283,4.195962370596754,0.9719786321146405,13,0.583803653717041
14,AdaBoostRegressor,13.245167739902817,16.879019853364433,4.141981217967875,0.9723608703612496,14,0.5853736400604248
15,AdaBoostRegressor,12.93119568508231,16.686876925959506,3.782752142878339,0.9724045929193406,15,0.5795674324035645
16,AdaBoostRegressor,13.957338247101509,17.467398737523013,4.493889930543548,0.9709654584768125,16,0.5576732158660889
17,AdaBoostRegressor,13.098326992878711,16.88588356265119,3.9681913526825623,0.9722134239595053,17,0.5493669509887695
18,AdaBoostRegressor,13.550320985046518,17.132274860204937,4.324580211545408,0.9717468979170825,18,0.5614104270935059
19,AdaBoostRegressor,13.368671054121304,16.922173417608988,4.288340216979761,0.9718851451083066,19,0.5486764907836914
20,AdaBoostRegressor,13.870586037091353,17.499227635262198,4.520626640051813,0.969979882941606,20,0.5581142902374268
21,AdaBoostRegressor,13.513268656154532,17.152784051449142,4.155560191726042,0.9707564345266793,21,0.5486392974853516
22,AdaBoostRegressor,13.401400292864516,16.943122575343402,4.077817234654205,0.972266009219896,22,0.5623323917388916
23,AdaBoostRegressor,13.881175917970847,17.590702357535786,4.523408614363479,0.9702550031560877,23,0.556394100189209
24,AdaBoostRegressor,13.345204543174425,16.951689950706,4.322528390454181,0.9724330873880147,24,0.6226806640625
25,AdaBoostRegressor,13.725039347385456,17.390341891517707,4.3583533608798986,0.9703136758889858,25,0.6051414012908936
26,AdaBoostRegressor,13.808924533017729,17.29818149901509,4.2327115823549235,0.9711693799630038,26,0.5765731334686279
27,AdaBoostRegressor,13.637171472144635,17.214695799748416,4.367007095271727,0.9715883485866379,27,0.5570356845855713
28,AdaBoostRegressor,13.314754659695845,16.93639919899897,3.973418684494264,0.9711302700652461,28,0.5629551410675049
29,AdaBoostRegressor,13.896293198849826,17.487423876346593,4.364103290571407,0.9700742509229471,29,0.5583431720733643
30,AdaBoostRegressor,13.430960303586577,17.067970703126704,4.222909348946327,0.9716434460504366,30,0.5634198188781738
31,AdaBoostRegressor,13.679359582258282,17.33739494613205,4.216642823652627,0.9700522612464392,31,0.5634071826934814
32,AdaBoostRegressor,13.892596516456614,17.507147638180783,4.270872415702855,0.9710694004822268,32,0.5855920314788818
33,AdaBoostRegressor,13.497571239976194,17.0695981035219,4.116355274289023,0.971654318606006,33,0.546666145324707
34,AdaBoostRegressor,13.604686971392937,17.11789008012851,4.167395333483908,0.971605432646388,34,0.5651049613952637
